acause
cvd_afib
cvd_cmp
cvd_htn
cvd_ihd_angina
cvd_hf
cvd_other
cvd_pvd
cvd_rhd
cvd_stroke
endo
gyne_endometr
gyne_fibroids
gyne_femaleinfert
gyne_other
gyne_prolapse
mental_alcohol
mental_anxiety
mental_drug_amphet
mental_drug_cannabis
mental_drug_cocaine
mental_drug_opioids
mental_schizo
mental_unipolar_dys
mental_unipolar_mdd
msk_other
msk_pain_lowback_noleg
msk_pain_lowback_wleg
msk_pain_neck
oral_other
oral_caries_perio
resp_asthma
resp_copd
resp_interstitial
resp_other
resp_pneum_other
skin_acne
skin_alopecia
skin_bacterial_abs_cell
skin_bacterial_impetigo
skin_decubitus
skin_eczema
skin_fungal
skin_other
skin_pruritus
skin_psoriasis
skin_scabies
skin_urticaria
skin_viral
urinary_bph
mental_other
sense_other
urinary_nephritis
